Electric Emergency and Disturbance Report - 2015-2020;;;;;;
Month;Date Event Began;Time Event Began;Area Affected;Alert Criteria;Event Type;Number of Customers Affected
July;07/22/2017;10:00 PM;"Missouri: Clay County, Jackson County, Lafayette County, Platte County; Kansas: Johnson County, Miami County, Wyandotte County";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;112540
July;07/22/2017;10:00 PM;Missouri;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;131000
July;07/22/2017;10:00 PM;Missouri;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;115000
July;07/23/2017;4:00 AM;Missouri: Illinois;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;82000
July;07/27/2017;6:00 AM;California: Butte County;Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
August;08/05/17;1:20 PM;"California: Humboldt County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
August;08/21/2017;11:41 PM;"California: Plumas County;";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;System Operations;2
August;08/25/2017;6:30 PM;Texas:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;330000
August;08/25/2017;6:17 PM;"Texas: Matagorda County, Nueces County, Aransas County, Refugio County, San Patricio County, Calhoun County, Victoria County, Jackson County, Live Oak County, Jim Wells County, Bee County, Lavaca County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;220400
August;08/26/2017;6:26 AM;Texas:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;1076868
August;08/26/2017;12:39 AM;Texas:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Severe Weather;Unknown
August;08/27/2017;5:10 AM;"Texas: Harris County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;1076868
August;08/30/2017;2:15 AM;Texas:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;78500
August;08/31/2017;2:49 PM;"California: Los Angeles County;";Load shedding of 100 Megawatts or more implemented under emergency operational policy;Severe Weather;0
September;09/01/17;3:41 PM;California:;Load shedding of 100 Megawatts or more implemented under emergency operational policy;Severe Weather;0
September;09/09/17;12:00 AM;"Florida: Hillsborough County, Pasco County, Polk County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;425000
September;09/09/17;12:30 PM;Florida:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;3500000
September;09/10/17;8:37 PM;Florida:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;452555
September;09/10/17;6:35 PM;"Florida: Alachua County, Bay County, Brevard County, Citrus County, Columbia County, Dixie County, Flagler County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Leon County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;1000000
September;09/11/17;2:27 AM;Georgia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;39659
September;09/11/17;5:30 PM;North Carolina: South Carolina:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;265729
September;09/11/17;12:30 AM;Florida:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;20000
September;09/11/17;12:55 PM;South Carolina:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;154832
October;10/04/17;2:30 AM;"Tennessee: Shelby County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
October;10/04/17;1:20 AM;Mississippi:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Actual Physical Attack;Unknown
October;10/08/17;3:00 AM;Alabama: Florida: Mississippi:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;91945
October;10/09/17;2:03 AM;California:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather/Transmission Interruption;117900
October;10/09/17;6:44 AM;California:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Severe Weather;Unknown
October;10/12/17;9:09 AM;"Mississippi: Coahoma County;";Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system;System Operations;Unknown
October;10/16/2017;3:55 PM;Washington:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Transmission Interruption;0
October;10/16/2017;3:45 PM;Washington: Montana:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Transmission Interruption;0
October;10/19/2017;4:01 PM;"Utah: Salt Lake County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Suspected Physical Attack;0
October;10/20/2017;3:44 AM;Washington:;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;Severe Weather;Unknown
October;10/20/2017;6:30 PM;Texas:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
October;10/22/2017;8:45 AM;Louisiana: Mississippi: Arkansas: Texas:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;Unknown
October;10/23/2017;5:50 PM;North Carolina: South Carolina:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;115144
October;10/25/2017;12:00 PM;California:;Cyber event that could potentially impact electric power system adequacy or reliability;Suspicious Activity;Unknown
October;10/26/2017;5:50 PM;"Montana: Big Horn County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Actual Physical Attack;0
October;10/26/2017;8:17 AM;"Washington: Whatcom County; Montana:";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Transmission Interruption;0
October;10/26/2017;8:17 AM;"Washington: Clark County;";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Transmission Interruption;0
October;10/29/2017;11:40 PM;Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;310453
November;11/01/17;3:40 PM;"Kentucky: Daviess County;";Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system;Generation Inadequacy;0
November;11/05/17;7:35 PM;Ohio:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;89216
November;11/07/17;12:29 PM;Louisiana:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Suspicious Activity;0
November;11/09/17;8:45 AM;"Colorado: Weld County;";Cyber event that could potentially impact electric power system adequacy or reliability;System Operations;0
November;11/13/2017;4:33 PM;"Washington: King County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;68430
November;11/13/2017;2:00 AM;"Washington: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;236100
November;11/16/2017;3:05 PM;"Oregon: Tillamook County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
November;11/24/2017;5:06 PM;"Nevada: Clark County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
December;12/04/17;9:53 PM;California:;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;Severe Weather/Transmission Interruption;263000
December;12/05/17;6:30 AM;"Michigan: Oscoda County, Isabella County, Roscommon County, Ogemaw County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;117500
December;12/05/17;6:50 AM;Louisiana:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
December;12/07/17;8:00 PM;"Texas: Bexar County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;88000
December;12/08/17;9:30 AM;Louisiana: Mississippi:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;79000
December;12/08/17;10:00 AM;Alabama: Georgia: Mississippi:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;301872
December;12/10/17;1:25 AM;"California: Ventura County, Santa Barbara County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather/Transmission Interruption;51323
December;12/12/17;2:22 AM;"New York: Saratoga County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Actual Physical Attack;1208
December;12/13/2017;9:55 AM;"New York: Suffolk County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
December;12/13/2017;8:50 AM;"Connecticut: New Haven County[13];";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Suspicious Activity;0
December;12/18/2017;1:00 PM;Mississippi:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
December;12/19/2017;8:40 AM;"Florida: Alachua County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
December;12/29/2017;6:15 AM;"Texas: Calhoun County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Suspicious Activity;Unknown
December;12/29/2017;7:00 AM;"New York: Tompkins County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;Unknown
December;12/31/2017;11:54 PM;Colorado:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
January ;01/01/18;6:21 PM;Tennessee:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;Severe Weather;Unknown
January;01/01/18;5:43 PM;Texas:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;Severe Weather;Unknown
January;01/01/18;9:37 PM;Tennessee:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;System Operations;Unknown
January;01/02/18;10:00 AM;"New York: Niagara County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;Unknown
January;01/02/18;7:30 AM;South Carolina:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;Severe Weather;717000
January;01/02/18;6:45 AM;North Carolina: South Carolina:;System-wide voltage reductions of 3 percent or more;Severe Weather;Unknown
January;01/04/18;1:49 AM;"Texas: Midland County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Actual Physical Attack;500
January;01/12/18;1:08 PM;"Michigan: Midland County, Genesee County;";Cyber event that causes interruptions of electrical system operations;System Operations;23007
January;01/15/2018;4:20 AM;Texas:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;Severe Weather;Unknown
January;01/16/2018;3:00 PM;Tennessee:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;Severe Weather;Unknown
January;01/16/2018;3:00 PM;"Tennessee: Shelby County;";Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;System Operations;Unknown
January;01/16/2018;1:57 PM;Texas:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Severe Weather;Unknown
January;01/17/2018;5:10 AM;Mississippi:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;System Operations;420000
January;01/17/2018;6:10 AM;Louisiana:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;System Operations;Unknown
January;01/18/2018;5:00 AM;Arkansas: Mississippi: Louisiana: Texas:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;Severe Weather;Unknown
January;01/18/2018;5:00 AM;Mississippi:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;System Operations;420000
January;01/18/2018;6:00 AM;Louisiana:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ;System Operations;Unknown
January;01/25/2018;8:19 PM;"Pennsylvania: Montgomery County;";Cyber event that could potentially impact electric power system adequacy or reliability;Suspicious Activity;Unknown
February;02/04/18;1:42 PM;California:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
February;02/08/18;1:25 PM;California:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;System Operations;10900
February;02/17/2018;4:33 PM;Oregon: Washington: California:;Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations;Vandalism;0
February;02/17/2018;5:56 PM;Oregon: Washington: California:;Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations;Vandalism;0
February;02/28/2018;12:08 PM;Florida:;Cyber event that could potentially impact electric power system adequacy or reliability;System Operations;0
February;02/28/2018;12:08 PM;Florida:;Cyber event that could potentially impact electric power system adequacy or reliability;System Operations;0
March;03/01/18;11:43 AM;California:;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Severe Weather;10898
March;03/01/18;9:57 PM;Ohio:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;86501
March;03/01/18;10:20 PM;"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;95000
March;03/02/18;5:00 PM;Delaware: Maryland:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;60000
March;03/02/18;11:17 PM;"Washington: Clark County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
March;03/02/18;3:10 PM;Ohio:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;249322
March;03/02/18;11:34 AM;New York:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;50000
March;03/02/18;3:46 PM;"New York: New York County, Westchester County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;72353
March;03/02/18;1:51 PM;Connecticut: Massachusetts: Rhode Island:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;325000
March;03/02/18;1:51 PM;Pennsylvania:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;233136
March;03/02/18;11:58 AM;"Pennsylvania: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;";Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system;Severe Weather;126000
March;03/02/18;12:00 PM;Pennsylvania:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;630000
March;03/02/18;7:00 AM;"New York: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;90000
March;03/02/18;12:00 PM;Maryland:;Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system;Severe Weather;474019
March;03/02/18;8:42 AM;New York:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;63331
March;03/02/18;8:00 AM;Virginia: West Virginia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;65198
March;03/07/18;4:10 PM;New Jersey:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;216800
March;03/07/18;5:15 PM;New Jersey:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;58000
March;03/07/18;12:00 PM;Pennsylvania:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;120000
March;03/07/18;7:37 PM;Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;102000
March;03/12/18;12:00 AM;"New York: Dutchess County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
March;03/13/2018;8:50 AM;Massachusetts: Rhode Island:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;123629
March;03/13/2018;12:10 AM;Colorado:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Suspicious Activity;0
March;03/19/2018;11:29 PM;Alabama: Georgia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;78220
March;03/20/2018;7:00 PM;"New Jersey: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;124000
March;03/24/2018;10:30 PM;Virginia: West Virginia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;81227
March;03/26/2018;3:05 AM;California:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
March;03/28/2018;3:00 PM;"Washington: Walla Walla County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;1185
April;04/03/18;11:15 AM;California:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
April;04/04/18;4:42 PM;New York:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;72896
April;04/05/18;12:50 AM;Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;65932
April;04/09/18;10:07 AM;"Washington: Walla Walla County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
April;04/09/18;12:16 PM;"Utah: Salt Lake County;";Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;Transmission Interruption;57000
April;04/09/18;11:16 AM;Utah:;Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident;Transmission Interruption;250000
April;04/09/18;11:10 PM;"Florida: Palm Beach County;";Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations;Sabotage;27000
April;04/14/2018;9:30 AM;Louisiana: Arkansas: Mississippi: Texas:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;56350
April;04/15/2018;7:30 AM;Michigan:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;389591
April;04/15/2018;5:14 PM;North Carolina: South Carolina:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;78100
May;05/02/18;2:52 PM;North Carolina:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
May;05/04/18;2:00 PM;"Michigan: Calhoun County, Genesee County, Ingham County, Kent County, Macomb County, Midland County, Saginaw County, Gratiot County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;90000
May;05/04/18;12:00 PM;Michigan:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;300000
May;05/04/18;8:10 PM;New York:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;106150
May;05/04/18;11:10 PM;New Hampshire: Vermont:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;56000
May;05/05/18;4:30 AM;Vermont: New Hampshire: Maine:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;31900
May;05/07/18;10:30 AM;"New York: Tompkins County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Suspected Physical Attack;0
May;05/08/18;4:00 PM;"Utah: Washington County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Actual Physical Attack;0
May;05/14/2018;7:08 PM;Virginia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;112000
May;05/15/2018;2:50 PM;"Pennsylvania: Lehigh County, Schuylkill County, Cumberland County, Lancaster County, Northampton County, Berks County, Clinton County, Susquehanna County, Bucks County, Carbon County, Chester County, Columbia County, Juniata County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;114000
May;05/15/2018;4:00 PM;"New York: Dutchess County, Ulster County, Orange County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;72000
May;05/15/2018;5:25 PM;New Jersey:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;82372
May;05/15/2018;6:14 PM;Pennsylvania:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;52872
May;05/15/2018;6:35 PM;Connecticut: Massachusetts: Rhode Island:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;120000
May;05/15/2018;3:00 PM;Massachusetts:;"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
May;05/15/2018;5:15 PM;New York:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;49999
May;05/17/2018;1:11 AM;"California: Contra Costa County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;70000
May;05/17/2018;1:11 AM;California:;Loss of electric service to more than 50,000 customers for 1 hour or more;Transmission Disruption;70000
May;05/26/2018;6:40 PM;"Texas: Harris County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;163932
June;06/02/18;5:00 AM;"Missouri: Jackson County, Clay County, Platte County, Andrew County; Kansas: Johnson County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;103535
June;06/04/18;8:50 AM;"Florida: Alachua County;";"Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems";Vandalism;0
June;06/09/18;9:54 AM;Georgia:;Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more;System Operations;0
June;06/10/18;2:25 PM;Kentucky:;Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more;System Operations;Unknown
June;06/12/18;4:15 PM;"Nevada: Clark County;";Damage or destruction of its Facility that results from actual or suspected intentional human action.;Vandalism;0
June;06/12/18;3:00 PM;"California: Kern County;";Damage or destruction of its Facility that results from actual or suspected intentional human action.;Vandalism;0
June;06/18/2018;6:20 PM;Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;112927
June;06/20/2018;10:58 PM;"Florida: Palm Beach County;";Complete operational failure or shut-down of the transmission and/or distribution of electrical system;Transmission Interruption;27000
June;06/22/2018;2:38 PM;Washington:;Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system;Severe Weather;4200000
June;06/27/2018;2:30 PM;"New York: New York County;";Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center;Suspicious Activity;0
June;06/28/2018;6:36 PM;Missouri: Illinois:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;112000
June;06/28/2018;2:50 PM;Alabama: Georgia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;48109
June;06/29/2018;7:35 AM;"Minnesota: St. Louis County;";Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident;Severe Weather;Unknown
June;06/29/2018;3:38 AM;Kentucky:;Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more;System Operations;Unknown
June;06/30/2018;12:30 PM;"California: Los Angeles County;";Damage or destruction of its Facility that results from actual or suspected intentional human action.;Vandalism;0
June;06/30/2018;10:45 AM;"Texas: Travis County, Williamson County;";Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more;System Operations;0
July;07/04/18;10:00 PM;"Colorado: Pueblo County;";Damage or destruction of its Facility that results from actual or suspected intentional human action.;Vandalism;5058
July;07/04/18;5:54 PM;Tennessee:;Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.;System Operations;0
July;07/09/18;1:10 PM;"California: Merced County, Kern County; Nevada: Clark County;";Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.;System Operations;0
July;07/11/18;3:40 PM;Tennessee:;Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident;Transmission Interruption;26195
July;07/11/18;12:58 AM;California:;Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
July;07/14/2018;10:20 AM;Ohio:;Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.;System Operations;Unknown
July;07/16/2018;5:15 AM;"California: Merced County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
July;07/18/2018;5:28 PM;Oregon:;Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.;Severe Weather/Transmission Interruption;Unknown
July;07/18/2018;4:00 AM;"California: Fresno County;";Fuel supply emergencies that could impact electric power system adequacy or reliability;Fuel Supply Deficiency;0
July;07/19/2018;8:25 PM;Kentucky:;Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.;System Operations;Unknown
July;07/19/2018;12:38 PM;"Louisiana: Rapides Parish;";Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.;System Operations;0
July;07/20/2018;12:46 PM;"Maine: Hancock County;";Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.;System Operations;0
July;07/20/2018;4:19 PM;Kentucky:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;87833
July;07/21/2018;4:45 AM;Arkansas:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;64930
July;07/21/2018;7:20 AM;Georgia:;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;42901
July;07/23/2018;4:16 AM;"Florida: Pinellas County;";Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).;Severe Weather/Transmission Interruption;Unknown
July;07/26/2018;8:24 PM;"California: Shasta County;";Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System;Natural Disaster;Unknown
July;07/27/2018;4:28 PM;"New York: New York County;";Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).;Severe Weather/Transmission Interruption;0
July;07/27/2018;9:34 AM;"Washington: Clark County;";Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system;System Operations;Unknown
July;07/28/2018;11:11 PM;"Nevada: Nye County;";Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.;System Operations;0
July;07/29/2018;2:33 PM;California:;Loss of electric service to more than 50,000 customers for 1 hour or more;Natural Disaster;57670
July;07/30/2018;6:30 AM;"Arizona: Maricopa County;";Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather;82000
July;07/31/2018;11:44 AM;"California: Kern County;";Damage or destruction of its Facility that results from actual or suspected intentional human action.;Suspicious Activity;Unknown
August;08/01/18;9:11 AM;Montana:;Physical attack that causes major interruptions or impacts to critical infrastructure or to operations.;Vandalism;0
August;08/04/18;8:20 AM;"California: Kern County;";Damage or destruction of its Facility that results from actual or suspected intentional human action.;Vandalism;Unknown
